filename,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,area_sum,class_1_perc,class_2_perc,class_3_perc,class_4_perc,class_5_perc,class_6_perc,class_7_perc,SG_all_perc,classifier,date
LULC_cart_Classified_6K_2018-04-18.tif,203051375,4129845,5044,367882,692533,932487,420255,2606611,9154657,0.45111957771875016,0.0005509764046867075,0.0401852303150189,0.07564816464450826,0.10185930505097024,0.045906143725537724,0.28473060214052803,0.04073620671970561,cart,2018-04-18
LULC_cons_Classified_6K_2018-04-18.tif,203172279,4582221,4946,456027,503455,647253,120256,2840499,9154657,0.5005344274504222,0.0005402714705750308,0.04981366314434282,0.054994414318308156,0.07070204814882743,0.013136046495242804,0.31027912897228155,0.05035393461491785,cons,2018-04-18
LULC_gbt_Classified_6K_2018-04-18.tif,203051375,4098339,5394,420583,566072,851165,117790,3095314,9154657,0.44767805063586763,0.00058920831222841,0.045941972484605374,0.06183432104556184,0.09297617595066641,0.012866675398106122,0.3381135961729642,0.046531180796833785,gbt,2018-04-18
LULC_knn_Classified_6K_2018-04-18.tif,203051375,4589698,0,527365,360045,449514,31994,3196041,9154657,0.5013511702295346,0.0,0.05760619977351418,0.03932916328814941,0.04910222196200251,0.0034948332853978036,0.34911641146140154,0.05760619977351418,knn,2018-04-18
LULC_rf_Classified_6K_2018-04-18.tif,203051375,4314927,4737,440855,475785,911671,78574,2928108,9154657,0.4713368288948455,0.000517441560071557,0.04815636456942079,0.0519719089420827,0.09958548965843286,0.008582954009090673,0.3198490123660559,0.04867380612949235,rf,2018-04-18
LULC_svm_Classified_6K_2018-04-18.tif,203051375,2824589,5818,799431,568938,729657,400175,3826049,9154657,0.3085412156894573,0.000635523537364644,0.0873250630799166,0.062147385751317605,0.07970336846044587,0.04371272457285948,0.41793471890863854,0.08796058661728123,svm,2018-04-18
LULC_cart_Classified_6K_2018-04-23.tif,201737104,5751484,20272,986317,1051043,621901,780112,1257799,10468928,0.5493861453627343,0.0019363969262182336,0.09421375330883926,0.10039643027442734,0.05940445860359341,0.07451689418439023,0.12014592133979717,0.09615015023505749,cart,2018-04-23
LULC_cons_Classified_6K_2018-04-23.tif,201858008,6067878,22434,1227848,1076364,207469,760200,1106735,10468928,0.5796083419429382,0.0021429128178166858,0.11728497893958197,0.10281511153768562,0.01981759737004591,0.07261488473318375,0.10571617265874787,0.11942789175739865,cons,2018-04-23
LULC_gbt_Classified_6K_2018-04-23.tif,201737104,5835605,19637,1178528,1086565,251320,890708,1206565,10468928,0.5574214475445814,0.0018757412411280314,0.11257389486296973,0.10378951885044964,0.02400627838877104,0.08508110859106109,0.11525201052103902,0.11444963610409777,gbt,2018-04-23
LULC_knn_Classified_6K_2018-04-23.tif,201737104,5980802,15237,1655464,891344,144279,293010,1488792,10468928,0.5712907759037028,0.0014554498798730873,0.15813118592467157,0.08514185979691521,0.013781640297841383,0.027988539036661632,0.14221054916033427,0.15958663580454466,knn,2018-04-23
LULC_rf_Classified_6K_2018-04-23.tif,201737104,5871865,26287,1194132,1053516,374673,774393,1174062,10468928,0.5608850304443779,0.002510954321206527,0.11406440086320203,0.10063265312360539,0.035789051180789476,0.07397061093552272,0.11214729913129597,0.11657535518440856,rf,2018-04-23
LULC_svm_Classified_6K_2018-04-23.tif,201737104,4349830,22649,1226421,1355744,865370,1028531,1620383,10468928,0.4154990845289986,0.002163449782059825,0.11714867080946588,0.12950170256209614,0.08266080347481614,0.09824606683702476,0.15478022200553868,0.11931212059152571,svm,2018-04-23
