,mean_chlor_a_x,mean_salinity,mean_sst_x,mean_sst_y,mean_water_velocity,mean_chlor_a_y,sst,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,area_sum,class_1_perc,class_2_perc,class_3_perc,class_4_perc,class_5_perc,class_6_perc,class_7_perc,SG_all_perc,storms,Year,Month,date,sun_hours,sun_minutes,sun
0,1.6912174802211066,30.50816537216829,10.246596763754043,9.95313945855641,0.0311087378640776,24.478,14.79,203172279.0,6067878.0,22434.0,1227848.0,1076364.0,647253.0,760200.0,2840499.0,10468928.0,0.5796083419429382,0.0021429128178166,0.1172849789395819,0.1028151115376856,0.0707020481488274,0.0726148847331837,0.3102791289722815,0.1194278917573986,0.0,2018.0,4.0,2018-04-01,203,16,12196
1,1.7849843289345424,32.377551779935274,17.181498705501618,16.32250954234274,0.0573501618122977,22.944,20.208,203151881.0,8606049.0,25916.0,1056406.0,1545384.0,1685675.0,619442.0,1925677.0,13266595.0,0.7703369714008376,0.0028246152202902,0.0850313207114643,0.1585698396358387,0.1356818983802607,0.0606940230876,0.1492550258395569,0.0858891952560455,0.0,2018.0,5.0,2018-05-01,350,22,21022
2,1.7533194734535462,33.24525210355988,18.501580906148867,18.02514742837401,0.1190928802588997,18.862,23.082,200969373.0,7197967.0,21795.0,509851.0,987111.0,538992.0,375660.0,1726187.0,11357563.0,0.6337598127344748,0.0019189856133749,0.0448908802002683,0.0869122187567878,0.0474566594964078,0.0330757575370702,0.1519856856616159,0.0468098658136433,0.0,2018.0,6.0,2018-06-01,219,19,13159
3,1.676488282638336,33.5012148867314,21.87006084142395,20.12849850925081,0.0882016181229773,11.612,23.619,198369774.0,9286494.0,132054.0,739177.0,1230077.0,1614849.0,213586.0,1819532.0,15014263.0,0.649185844514809,0.008795236902404,0.0492316539280016,0.0819272314598458,0.1075543301725832,0.0153029677523267,0.1211869007489745,0.0580268908304057,0.0,2018.0,7.0,2018-07-01,317,41,19061
4,1.4841736033778647,33.044830420711975,23.035646925566343,22.481400575082656,0.0515941747572815,43.612,25.728,114225017.0,6533540.0,451083.0,1227920.0,1340556.0,810668.0,74251.0,1594407.0,12032425.0,0.5429944504121156,0.0374889517283506,0.1020509165858087,0.1114119556116078,0.0673736175376119,0.006170909022911,0.1325091991015942,0.1395398683141594,0.0,2018.0,8.0,2018-08-01,196,55,11815
5,1.5991809392230876,34.070223235334595,13.966450619912935,13.740097512029008,0.2149576051779936,16.727,15.182,208621500.0,7680040.0,70651.0,852796.0,1156500.0,996739.0,54635.0,2236804.0,13007196.0,0.5904454734133321,0.0190668520519582,0.1577304263249992,0.0897996888895125,0.0766298132203128,0.014744553677354,0.1719666559956504,0.1767972783769575,1.0,2018.0,10.0,2018-10-01,152,32,9152
6,1.7254855413300658,34.08353340259493,10.163517539104852,10.592222951573456,0.0480869211708223,6.0994,9.3,117868278.0,5789155.0,51628.0,541961.0,809572.0,83549.0,28297.0,2044520.0,9348682.0,0.619248253390157,0.0055224896942692,0.0579719151854774,0.0865974476402128,0.0089369817050146,0.0030268437839686,0.2186960686009001,0.0634944048797466,5.0,2018.0,11.0,2018-11-01,63,30,3810
7,2.020586659461605,33.80360173067987,6.172003820143525,8.005234574777443,0.1369252902639664,6.763927272727273,5.372,114468646.0,7113254.0,30005.0,381863.0,1248445.0,839953.0,26348.0,1696985.0,11336853.0,0.6274452001803322,0.0026466780507782,0.0336833334612347,0.1101227121847659,0.0740904905444218,0.0023241017591036,0.1496874838193632,0.036330011512013,4.0,2018.0,12.0,2018-12-01,28,17,1697
8,1.7034833190931595,31.65518615861232,4.361914818586371,5.0414351198014815,0.1477390433829719,7.75,7.822,201915329.0,8403813.0,38199.0,837844.0,891681.0,756818.0,114246.0,1528213.0,12321087.0,0.6820674994016356,0.0033686442448317,0.0804721115578027,0.0856429751910536,0.0614246129420237,0.0092723961773827,0.1240323195510266,0.0838407558026345,3.0,2019.0,2.0,2019-02-01,111,23,6683
9,2.020586659461605,31.99476796751712,11.573944804097389,10.156819808291049,0.0721786729990462,22.874,14.352,199543147.0,13553731.0,5136.0,328739.0,1014391.0,648516.0,292236.0,1747715.0,17482033.0,0.7752948984823447,0.0004017588212696,0.0290502740860813,0.0710517195168965,0.050729560695972,0.0491018896626667,0.180977463029057,0.0290502740860813,0.0,2019.0,4.0,2019-04-01,243,14,14594
10,1.6096343537663995,33.338758750976865,14.179664236766705,13.424836724815789,0.1050764514274765,27.591,14.154,198334783.0,8858159.0,184.0,179984.0,1264233.0,1811300.0,106841.0,1771452.0,13992153.0,0.6330804844686876,1.3150227845564582e-05,0.0128632098291092,0.0903529999993567,0.1294511287862561,0.0076357798546085,0.1266032468341362,0.0128763600569547,0.0,2019.0,5.0,2019-05-01,214,58,12898
11,2.020586659461605,33.133740675276826,19.14000540376455,18.699625025140016,0.1014550077396548,13.089,21.945,197845510.0,10181981.0,38307.0,883438.0,1268616.0,499318.0,133951.0,1475815.0,14481426.0,0.7031062410566473,0.0061384317423024,0.0610049037988385,0.0876029750108863,0.0344798916902244,0.0228440057481768,0.215368159796687,0.0660314116318103,0.0,2019.0,6.0,2019-06-01,265,8,15908
12,1.7140777965696437,32.36323966664585,20.12334056849325,20.397944069822824,0.1279995694211513,14.309,19.822499999999998,113668716.0,5831790.0,686688.0,1385145.0,1154840.0,39515.0,51842.0,1851306.0,11001126.0,0.5301084634427421,0.0624197923012607,0.1259093841848552,0.1049747089525199,0.0035919050468106,0.0047124267097749,0.1682833193620362,0.188329176486116,0.0,2019.0,9.0,2019-09-01,153,49,9229
