cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_1_5,cm_1_6,cm_1_7,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_2_5,cm_2_6,cm_2_7,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_3_5,cm_3_6,cm_3_7,cm_4_1,cm_4_2,cm_4_3,cm_4_4,cm_4_5,cm_4_6,cm_4_7,cm_5_1,cm_5_2,cm_5_3,cm_5_4,cm_5_5,cm_5_6,cm_5_7,cm_6_1,cm_6_2,cm_6_3,cm_6_4,cm_6_5,cm_6_6,cm_6_7,cm_7_1,cm_7_2,cm_7_3,cm_7_4,cm_7_5,cm_7_6,cm_7_7,filename,classifier,date
455,0,21,0,0,0,31,0,0,0,0,2,0,0,14,0,317,0,20,0,51,0,0,0,44,4,0,0,21,0,14,2,337,0,4,0,0,1,0,0,1,1,47,0,72,0,1,0,376,ConfusionMatrix_KNN_2018-05-05.csv,KNN,2018-05-05
448,0,21,0,0,0,38,0,1,0,0,1,0,0,5,0,337,0,8,0,52,0,0,0,45,3,0,0,4,0,3,4,365,0,2,0,0,0,0,0,2,1,33,0,57,0,0,0,406,ConfusionMatrix_RF_2018-05-05.csv,RF,2018-05-05
278,0,138,0,1,0,90,0,2,0,0,0,0,0,3,0,244,0,22,0,133,1,0,0,43,4,0,0,6,0,18,0,353,0,1,0,0,1,0,0,2,0,44,0,72,0,2,0,378,ConfusionMatrix_SVM_2018-05-05.csv,SVM,2018-05-05
443,0,3,1,2,0,33,0,2,0,0,0,0,0,6,0,258,0,9,0,42,2,0,0,47,0,1,0,5,0,3,0,389,0,4,0,1,0,1,0,11,1,35,0,55,5,4,0,364,ConfusionMatrix_CART_2018-05-08.csv,CART,2018-05-08
307,0,0,0,0,0,5,0,65,2,0,0,0,0,1,2,310,0,25,0,22,3,0,2,313,0,0,0,1,0,2,0,331,0,0,23,60,70,37,5,62,24,6,0,8,0,7,0,307,ConfusionMatrix_Cons_2018-05-08.csv,Cons,2018-05-08
455,0,4,1,0,0,22,0,2,0,0,0,0,0,0,0,279,0,9,0,27,0,0,0,50,0,0,0,2,0,4,0,395,0,0,1,1,0,1,0,11,0,20,0,34,0,0,0,409,ConfusionMatrix_GBT_2018-05-08.csv,GBT,2018-05-08
448,0,8,0,0,0,26,0,0,0,0,2,0,0,5,0,253,0,17,0,40,5,0,0,43,0,1,1,22,0,3,0,360,0,16,2,0,2,3,1,6,0,23,0,48,0,1,0,391,ConfusionMatrix_KNN_2018-05-08.csv,KNN,2018-05-08
454,0,6,0,0,0,22,0,2,0,0,0,0,0,0,0,272,0,11,0,32,3,0,0,47,0,0,0,3,0,4,0,393,0,1,2,0,1,2,0,9,0,18,0,40,2,0,0,403,ConfusionMatrix_RF_2018-05-08.csv,RF,2018-05-08
393,0,9,1,3,0,76,0,2,0,0,0,0,0,15,0,210,0,22,0,68,3,0,0,47,0,0,0,29,0,50,0,304,0,18,2,0,2,2,0,7,1,32,0,53,1,2,0,375,ConfusionMatrix_SVM_2018-05-08.csv,SVM,2018-05-08
457,0,2,0,5,0,26,0,0,0,0,0,0,0,0,0,106,0,7,0,11,0,0,0,53,1,0,0,1,0,5,0,213,0,4,3,0,1,0,0,4,0,27,0,8,0,4,0,476,ConfusionMatrix_CART_2018-05-20.csv,CART,2018-05-20
368,0,0,0,0,0,7,0,77,0,0,0,0,0,0,3,209,0,17,0,9,5,0,0,377,4,0,0,0,0,2,0,159,0,1,84,54,95,15,62,43,27,1,0,0,0,0,0,377,ConfusionMatrix_Cons_2018-05-20.csv,Cons,2018-05-20
474,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,113,0,4,0,7,0,0,0,53,1,0,0,1,0,3,0,214,0,5,4,0,1,0,0,3,0,6,0,3,0,1,0,505,ConfusionMatrix_GBT_2018-05-20.csv,GBT,2018-05-20
471,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,104,0,9,0,11,1,0,0,51,1,0,1,13,0,4,1,191,0,14,6,0,1,0,1,0,0,10,0,14,0,3,0,488,ConfusionMatrix_KNN_2018-05-20.csv,KNN,2018-05-20
471,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,112,0,4,0,8,0,0,0,53,1,0,0,1,0,4,0,211,0,7,3,0,1,0,0,3,1,9,0,6,0,1,0,499,ConfusionMatrix_RF_2018-05-20.csv,RF,2018-05-20
462,0,1,1,2,3,21,0,0,0,0,0,0,0,0,0,75,0,15,0,34,2,0,0,50,0,1,1,11,0,24,0,178,0,10,2,0,1,0,0,5,0,107,0,3,0,5,0,400,ConfusionMatrix_SVM_2018-05-20.csv,SVM,2018-05-20
490,0,1,0,7,0,12,0,0,0,0,0,0,0,2,0,206,0,1,0,20,1,0,0,47,0,0,0,1,0,0,0,55,0,0,1,0,0,0,0,5,1,8,0,9,0,1,0,441,ConfusionMatrix_CART_2018-05-23.csv,CART,2018-05-23
364,0,0,0,0,0,1,0,36,66,0,0,1,4,0,5,275,5,1,10,67,10,0,0,357,0,0,3,0,0,0,0,42,0,0,35,84,36,18,0,199,19,2,0,0,0,0,0,360,ConfusionMatrix_Cons_2018-05-23.csv,Cons,2018-05-23
501,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,222,0,0,0,7,1,0,0,47,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,5,2,5,0,1,0,0,0,453,ConfusionMatrix_GBT_2018-05-23.csv,GBT,2018-05-23
487,0,0,0,2,0,21,0,0,0,0,0,0,0,2,0,195,0,1,0,31,4,0,0,43,0,1,0,7,0,0,0,48,0,1,1,0,0,2,0,2,2,7,0,3,0,2,0,447,ConfusionMatrix_KNN_2018-05-23.csv,KNN,2018-05-23
499,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,223,0,1,0,5,1,0,0,47,0,0,0,0,0,0,0,56,0,0,0,0,0,1,0,4,2,5,0,1,0,1,0,452,ConfusionMatrix_RF_2018-05-23.csv,RF,2018-05-23
490,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,190,0,1,0,38,2,0,0,46,0,0,0,1,0,0,0,55,0,0,0,0,0,0,0,7,0,31,0,6,0,3,0,419,ConfusionMatrix_SVM_2018-05-23.csv,SVM,2018-05-23
458,0,5,1,14,3,14,0,79,0,0,1,0,0,6,0,375,0,4,0,5,6,0,0,43,0,0,0,3,2,3,0,352,0,1,1,0,0,0,0,2,0,10,0,7,2,3,0,461,ConfusionMatrix_CART_2018-06-07.csv,CART,2018-06-07
277,0,0,0,0,0,1,0,244,0,0,38,13,10,1,0,279,0,7,1,3,1,0,0,286,0,0,0,0,0,1,0,275,0,0,35,31,51,32,11,112,23,2,0,1,0,0,0,265,ConfusionMatrix_Cons_2018-06-07.csv,Cons,2018-06-07
480,0,4,0,0,0,11,0,80,0,0,0,0,0,1,0,381,0,4,0,4,3,0,0,46,0,0,0,1,0,0,0,360,0,0,0,0,0,1,0,2,0,4,0,1,0,0,0,478,ConfusionMatrix_GBT_2018-06-07.csv,GBT,2018-06-07
453,0,15,0,2,0,25,0,78,0,0,1,0,1,5,4,363,0,10,0,8,5,0,0,34,0,2,8,24,5,8,0,314,0,10,2,0,1,0,0,0,0,3,0,4,0,1,0,475,ConfusionMatrix_KNN_2018-06-07.csv,KNN,2018-06-07
473,0,4,0,3,0,15,0,80,0,0,0,0,0,1,0,380,0,5,0,4,2,0,0,46,0,0,1,4,0,0,0,356,0,1,0,0,1,0,0,2,0,3,0,2,0,1,0,477,ConfusionMatrix_RF_2018-06-07.csv,RF,2018-06-07
446,0,22,1,11,0,15,0,79,1,0,0,0,0,9,0,360,0,6,0,15,2,0,0,47,0,0,0,42,5,15,0,289,0,10,0,0,0,0,0,3,0,16,0,18,0,3,0,446,ConfusionMatrix_SVM_2018-06-07.csv,SVM,2018-06-07
459,0,1,7,10,0,8,0,317,0,0,3,0,0,1,0,360,0,22,1,2,5,0,0,53,3,2,1,4,0,10,1,392,0,5,1,0,0,1,0,1,1,18,0,0,0,2,0,469,ConfusionMatrix_CART_2018-07-02.csv,CART,2018-07-02
300,0,0,1,0,0,1,0,272,0,0,9,0,0,0,0,267,0,9,0,4,11,0,0,268,3,0,2,1,1,14,0,280,0,0,20,11,33,24,156,32,2,1,0,1,0,0,0,277,ConfusionMatrix_Cons_2018-07-02.csv,Cons,2018-07-02
477,0,1,3,0,0,4,0,320,0,0,0,0,0,1,0,380,0,4,0,1,4,0,0,55,2,0,3,0,0,6,0,402,0,4,0,0,0,0,1,3,0,2,0,1,0,0,0,486,ConfusionMatrix_GBT_2018-07-02.csv,GBT,2018-07-02
461,0,0,6,1,0,17,0,319,0,0,1,0,0,7,15,350,0,6,0,8,12,0,0,48,0,1,3,22,44,54,0,276,0,16,2,0,0,0,1,1,0,8,0,8,0,1,0,472,ConfusionMatrix_KNN_2018-07-02.csv,KNN,2018-07-02
476,0,0,3,1,0,5,0,319,0,0,1,0,0,3,0,373,0,9,0,1,4,0,0,57,2,0,1,3,1,8,0,399,0,1,0,0,0,0,1,3,0,3,0,2,0,1,0,483,ConfusionMatrix_RF_2018-07-02.csv,RF,2018-07-02
451,0,2,6,3,1,22,0,311,8,0,1,0,0,1,0,222,0,152,0,11,4,0,0,60,0,0,0,22,4,31,0,334,1,20,0,0,0,0,0,4,0,22,0,12,0,13,0,442,ConfusionMatrix_SVM_2018-07-02.csv,SVM,2018-07-02
501,0,0,0,9,1,18,0,328,0,0,9,0,0,0,0,355,0,43,1,7,1,0,0,59,0,2,1,8,12,27,0,356,2,6,0,0,1,1,0,4,0,7,0,5,0,8,1,476,ConfusionMatrix_CART_2018-07-17.csv,CART,2018-07-17
287,0,0,0,0,0,1,0,274,0,0,4,0,0,0,2,278,0,7,0,0,4,0,0,272,4,0,28,0,2,3,0,252,0,0,20,33,75,10,126,43,1,1,0,0,0,2,0,271,ConfusionMatrix_Cons_2018-07-17.csv,Cons,2018-07-17
521,0,0,0,1,0,7,0,337,0,0,0,0,0,0,0,391,0,11,1,3,1,0,0,60,1,0,1,3,2,7,0,396,0,3,0,0,1,1,0,4,0,3,0,1,0,3,0,490,ConfusionMatrix_GBT_2018-07-17.csv,GBT,2018-07-17
513,0,0,0,1,0,15,0,334,1,0,2,0,0,0,37,350,0,16,0,3,7,0,0,52,3,0,1,14,53,51,0,282,0,11,1,0,3,0,1,1,0,11,1,11,0,0,0,474,ConfusionMatrix_KNN_2018-07-17.csv,KNN,2018-07-17
518,0,0,0,2,0,9,0,336,0,0,1,0,0,0,0,388,0,15,0,3,3,0,0,57,2,0,1,6,10,15,0,373,0,7,0,0,1,1,1,3,0,3,0,3,0,7,0,484,ConfusionMatrix_RF_2018-07-17.csv,RF,2018-07-17
466,0,0,1,43,0,19,0,332,0,0,5,0,0,0,71,158,0,172,0,5,2,0,0,59,0,1,1,38,14,17,0,341,0,1,1,1,1,0,0,3,0,33,1,42,0,15,0,406,ConfusionMatrix_SVM_2018-07-17.csv,SVM,2018-07-17
498,0,0,4,1,0,6,0,376,1,0,8,0,0,0,0,371,0,8,1,8,1,0,0,48,2,0,0,5,2,7,0,320,0,4,0,0,3,0,0,4,1,7,0,1,1,4,3,458,ConfusionMatrix_CART_2018-08-03.csv,CART,2018-08-03
263,0,0,0,0,0,0,0,329,1,0,3,0,0,0,0,274,0,1,0,2,2,0,0,298,2,1,1,0,0,1,0,201,0,0,11,70,79,10,70,24,27,2,0,5,0,2,0,321,ConfusionMatrix_Cons_2018-08-03.csv,Cons,2018-08-03
