cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_1_5,cm_1_6,cm_1_7,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_2_5,cm_2_6,cm_2_7,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_3_5,cm_3_6,cm_3_7,cm_4_1,cm_4_2,cm_4_3,cm_4_4,cm_4_5,cm_4_6,cm_4_7,cm_5_1,cm_5_2,cm_5_3,cm_5_4,cm_5_5,cm_5_6,cm_5_7,cm_6_1,cm_6_2,cm_6_3,cm_6_4,cm_6_5,cm_6_6,cm_6_7,cm_7_1,cm_7_2,cm_7_3,cm_7_4,cm_7_5,cm_7_6,cm_7_7,filename,classifier,date,accuracy,kappa,fscore
461,0,35,4,0,0,11,0,6,0,0,1,0,0,2,1,324,0,11,0,19,3,0,4,62,0,0,2,4,0,0,0,117,0,0,1,0,1,0,0,6,0,14,0,47,2,0,0,378,ConfusionMatrix_RF_2018-04-23.csv,RF,2018-04-23,0.8931398416886543,0.8557335448057097,0.8857416405661441
339,2,46,2,66,0,56,0,5,2,0,0,0,0,86,1,209,1,15,0,45,2,0,0,66,0,0,3,12,0,9,1,97,0,2,0,0,0,2,0,5,1,94,0,119,9,18,0,201,ConfusionMatrix_SVM_2018-04-23.csv,SVM,2018-04-23,0.6081794195250659,0.4773800286351525,0.6665412994965537
436,0,8,2,12,1,27,0,4,0,0,0,0,0,11,0,257,1,1,0,69,0,0,0,36,0,0,1,8,0,5,0,456,0,0,1,0,0,0,2,1,0,13,0,53,0,0,1,404,ConfusionMatrix_CART_2018-05-03.csv,CART,2018-05-03,0.8806629834254144,0.8423756857963945,0.8177278919202566
294,0,2,0,0,0,0,0,66,0,0,3,0,0,3,2,273,1,11,1,37,8,0,2,325,0,0,4,1,0,0,0,320,0,1,69,17,54,13,116,57,6,1,0,10,0,0,0,303,ConfusionMatrix_Cons_2018-05-03.csv,Cons,2018-05-03,0.819,0.7859064967324126,0.7913699788050463
476,0,5,0,0,0,5,0,4,0,0,0,0,0,2,0,300,0,3,0,34,0,0,0,37,0,0,0,3,0,0,0,466,0,0,1,0,0,0,1,2,0,5,0,38,0,0,0,428,ConfusionMatrix_GBT_2018-05-03.csv,GBT,2018-05-03,0.9464088397790055,0.9292444751086197,0.9185677924314416
441,0,11,3,7,0,24,0,3,0,0,1,0,0,12,0,281,0,5,0,41,1,0,1,35,0,0,0,17,0,12,3,430,0,7,2,0,0,0,2,0,0,19,0,55,0,1,0,396,ConfusionMatrix_KNN_2018-05-03.csv,KNN,2018-05-03,0.876243093922652,0.836767362490876,0.7491094510646714
466,0,6,0,0,0,14,0,4,0,0,0,0,0,1,0,307,0,2,0,29,1,0,0,36,0,0,0,7,0,0,0,460,0,2,1,0,0,0,2,1,0,15,0,42,0,0,0,414,ConfusionMatrix_RF_2018-05-03.csv,RF,2018-05-03,0.932596685082873,0.911030422583333,0.8716224660274475
392,0,20,10,5,0,59,0,3,0,0,1,0,0,45,0,205,0,0,0,89,4,0,0,33,0,0,0,63,2,114,0,275,0,15,1,0,0,0,1,2,0,21,0,64,0,19,0,367,ConfusionMatrix_SVM_2018-05-03.csv,SVM,2018-05-03,0.7055248618784531,0.6127804565171234,0.7047357121569006
442,0,20,0,4,0,41,0,2,0,0,0,0,0,20,0,306,0,15,0,61,0,0,0,47,1,0,0,7,0,9,6,352,0,4,0,0,0,0,1,1,1,35,0,64,0,2,0,395,ConfusionMatrix_CART_2018-05-05.csv,CART,2018-05-05,0.8415032679738562,0.7914350638273286,0.8279471340698551
315,0,6,0,0,0,11,0,64,0,0,4,0,0,1,2,325,0,5,2,13,1,0,0,351,3,0,1,1,0,0,1,233,0,0,50,17,91,13,77,83,5,5,0,12,0,0,0,306,ConfusionMatrix_Cons_2018-05-05.csv,Cons,2018-05-05,0.8393393393393394,0.8096179226156305,0.8151075398471166
453,0,22,0,0,0,32,0,1,0,0,1,0,0,7,0,345,0,8,0,42,0,0,0,47,1,0,0,0,0,0,2,376,0,0,0,0,0,0,0,2,1,23,0,48,0,0,0,425,ConfusionMatrix_GBT_2018-05-05.csv,GBT,2018-05-05,0.8981481481481481,0.866038580258354,0.861878634096634
455,0,21,0,0,0,31,0,0,0,0,2,0,0,14,0,317,0,20,0,51,0,0,0,44,4,0,0,21,0,14,2,337,0,4,0,0,1,0,0,1,1,47,0,72,0,1,0,376,ConfusionMatrix_KNN_2018-05-05.csv,KNN,2018-05-05,0.8333333333333334,0.7803978836243559,0.6809928620348932
448,0,21,0,0,0,38,0,1,0,0,1,0,0,5,0,337,0,8,0,52,0,0,0,45,3,0,0,4,0,3,4,365,0,2,0,0,0,0,0,2,1,33,0,57,0,0,0,406,ConfusionMatrix_RF_2018-05-05.csv,RF,2018-05-05,0.8736383442265795,0.833746282288471,0.8425881207455203
278,0,138,0,1,0,90,0,2,0,0,0,0,0,3,0,244,0,22,0,133,1,0,0,43,4,0,0,6,0,18,0,353,0,1,0,0,1,0,0,2,0,44,0,72,0,2,0,378,ConfusionMatrix_SVM_2018-05-05.csv,SVM,2018-05-05,0.7080610021786492,0.6166901148415261,0.7975621246157312
443,0,3,1,2,0,33,0,2,0,0,0,0,0,6,0,258,0,9,0,42,2,0,0,47,0,1,0,5,0,3,0,389,0,4,0,1,0,1,0,11,1,35,0,55,5,4,0,364,ConfusionMatrix_CART_2018-05-08.csv,CART,2018-05-08,0.876664736537348,0.8383024195888052,0.8633673795100841
307,0,0,0,0,0,5,0,65,2,0,0,0,0,1,2,310,0,25,0,22,3,0,2,313,0,0,0,1,0,2,0,331,0,0,23,60,70,37,5,62,24,6,0,8,0,7,0,307,ConfusionMatrix_Cons_2018-05-08.csv,Cons,2018-05-08,0.8475,0.8192164604301877,0.7956236241459015
455,0,4,1,0,0,22,0,2,0,0,0,0,0,0,0,279,0,9,0,27,0,0,0,50,0,0,0,2,0,4,0,395,0,0,1,1,0,1,0,11,0,20,0,34,0,0,0,409,ConfusionMatrix_GBT_2018-05-08.csv,GBT,2018-05-08,0.9270411117544876,0.9043171225046172,0.9078855445321359
448,0,8,0,0,0,26,0,0,0,0,2,0,0,5,0,253,0,17,0,40,5,0,0,43,0,1,1,22,0,3,0,360,0,16,2,0,2,3,1,6,0,23,0,48,0,1,0,391,ConfusionMatrix_KNN_2018-05-08.csv,KNN,2018-05-08,0.8691372321945571,0.8277244381982797,0.7049727697004428
454,0,6,0,0,0,22,0,2,0,0,0,0,0,0,0,272,0,11,0,32,3,0,0,47,0,0,0,3,0,4,0,393,0,1,2,0,1,2,0,9,0,18,0,40,2,0,0,403,ConfusionMatrix_RF_2018-05-08.csv,RF,2018-05-08,0.9148812970469021,0.8882956114483039,0.9087666461711095
393,0,9,1,3,0,76,0,2,0,0,0,0,0,15,0,210,0,22,0,68,3,0,0,47,0,0,0,29,0,50,0,304,0,18,2,0,2,2,0,7,1,32,0,53,1,2,0,375,ConfusionMatrix_SVM_2018-05-08.csv,SVM,2018-05-08,0.7747539085118703,0.7037283839112618,0.8080949008061798
