cm_1_1,cm_1_2,cm_1_3,cm_1_4,cm_1_5,cm_1_6,cm_1_7,cm_2_1,cm_2_2,cm_2_3,cm_2_4,cm_2_5,cm_2_6,cm_2_7,cm_3_1,cm_3_2,cm_3_3,cm_3_4,cm_3_5,cm_3_6,cm_3_7,cm_4_1,cm_4_2,cm_4_3,cm_4_4,cm_4_5,cm_4_6,cm_4_7,cm_5_1,cm_5_2,cm_5_3,cm_5_4,cm_5_5,cm_5_6,cm_5_7,cm_6_1,cm_6_2,cm_6_3,cm_6_4,cm_6_5,cm_6_6,cm_6_7,cm_7_1,cm_7_2,cm_7_3,cm_7_4,cm_7_5,cm_7_6,cm_7_7,filename,classifier,date,accuracy,kappa,fscore
308,0,0,0,0,0,1,0,232,0,0,1,0,0,1,0,345,0,0,0,1,1,0,0,330,0,0,2,0,2,0,0,77,0,0,36,124,115,11,0,34,31,3,0,14,0,0,0,331,ConfusionMatrix_Cons_2018-11-16.csv,Cons,2018-11-16,0.8285,0.7973561775348941,0.8036618766935826
477,0,0,0,0,0,9,0,48,0,0,1,0,0,0,0,381,0,0,0,4,0,0,0,47,0,0,0,0,2,0,0,117,0,0,1,0,0,0,0,1,1,22,0,13,0,0,0,429,ConfusionMatrix_GBT_2018-11-16.csv,GBT,2018-11-16,0.9658725048293625,0.9540907475919801,0.9069624678854776
471,0,2,0,2,0,11,0,42,2,0,4,0,1,2,1,368,0,3,0,11,1,0,0,46,0,0,0,14,0,2,0,99,0,4,2,0,0,0,0,0,1,24,0,21,0,0,0,419,ConfusionMatrix_KNN_2018-11-16.csv,KNN,2018-11-16,0.9304571796522859,0.9060580788293497,0.7971422151904161
476,0,0,0,0,0,10,0,48,0,0,1,0,0,0,0,379,0,1,0,5,0,0,0,47,0,0,0,1,3,0,0,114,0,1,2,0,0,0,0,0,1,23,0,16,0,0,0,425,ConfusionMatrix_RF_2018-11-16.csv,RF,2018-11-16,0.9587894397939472,0.9445407279029462,0.8291086051804814
426,0,1,0,25,2,32,0,43,4,0,1,0,1,2,0,368,0,4,2,9,0,0,0,47,0,0,0,9,2,12,0,93,0,3,0,0,1,0,0,2,0,36,0,41,0,3,1,383,ConfusionMatrix_SVM_2018-11-16.csv,SVM,2018-11-16,0.8770122343850612,0.8351650305776834,0.8182358670237383
492,0,0,1,8,0,31,0,57,0,0,4,0,4,0,0,363,0,4,1,18,2,0,0,55,2,0,1,2,3,12,0,262,0,2,0,0,2,0,1,2,2,25,11,25,0,1,2,407,ConfusionMatrix_CART_2018-12-11.csv,CART,2018-12-11,0.9089900110987791,0.8821937237327856,0.8251462260240527
324,0,0,0,0,0,2,0,217,1,0,6,0,1,0,0,315,0,1,0,8,72,0,0,225,2,0,27,0,1,1,0,184,0,0,33,108,83,0,9,21,59,6,2,6,0,2,1,283,ConfusionMatrix_Cons_2018-12-11.csv,Cons,2018-12-11,0.7845,0.7480022896126075,0.7453353897887613
515,0,0,1,1,0,15,0,57,0,0,3,0,5,0,0,358,0,2,0,26,3,0,0,57,0,0,0,1,3,1,0,276,0,0,0,0,1,1,2,3,0,15,7,20,0,0,0,429,ConfusionMatrix_GBT_2018-12-11.csv,GBT,2018-12-11,0.9406215316315205,0.9230280667675054,0.8866488847377613
506,0,0,1,0,0,25,0,49,0,0,12,0,4,0,4,353,0,7,0,22,3,0,0,53,1,0,3,14,0,20,0,244,0,3,0,0,2,0,4,0,1,17,19,16,0,0,0,419,ConfusionMatrix_KNN_2018-12-11.csv,KNN,2018-12-11,0.9012208657047724,0.8717541820548773,0.7529515602200856
505,0,0,1,3,0,23,0,59,0,0,3,0,3,0,0,358,0,4,0,24,3,0,0,56,1,0,0,3,3,3,0,272,0,0,0,0,2,0,3,2,0,17,7,18,0,0,0,429,ConfusionMatrix_RF_2018-12-11.csv,RF,2018-12-11,0.9328523862375139,0.912969375911051,0.8616053281354945
500,0,0,2,5,0,25,0,43,0,0,4,0,18,0,0,338,0,10,0,38,4,0,0,55,0,0,1,14,0,29,0,236,0,2,0,0,4,0,0,2,1,91,14,36,0,1,2,327,ConfusionMatrix_SVM_2018-12-11.csv,SVM,2018-12-11,0.8329633740288568,0.7824276476319638,0.7653175090567641
490,2,3,0,5,0,22,2,95,1,0,0,0,0,2,0,350,0,7,0,38,2,0,1,51,3,0,3,6,2,4,0,327,0,5,1,2,0,0,0,6,0,24,4,38,1,1,2,413,ConfusionMatrix_CART_2019-02-24.csv,CART,2019-02-24,0.9053842132775745,0.8790622929450879,0.8824577040842689
325,1,0,0,0,0,1,0,90,1,0,2,0,4,0,0,336,1,1,0,6,2,0,24,234,4,0,52,1,2,0,0,230,0,0,27,80,155,6,24,26,8,5,9,13,1,0,0,329,ConfusionMatrix_Cons_2019-02-24.csv,Cons,2019-02-24,0.785,0.7466183120124429,0.7354135766530135
508,0,5,0,0,0,9,0,97,0,0,1,0,0,0,1,365,0,6,0,25,0,0,0,56,2,0,2,2,1,1,0,340,0,0,1,2,0,0,0,5,1,20,1,26,1,0,1,434,ConfusionMatrix_GBT_2019-02-24.csv,GBT,2019-02-24,0.9435441714584423,0.9278556610385162,0.9098976598341558
505,2,4,0,0,0,11,2,91,0,0,2,0,3,1,6,332,0,15,0,43,2,0,1,52,0,0,5,28,0,21,0,290,0,5,1,1,6,1,0,0,0,22,12,35,0,4,0,410,ConfusionMatrix_KNN_2019-02-24.csv,KNN,2019-02-24,0.8782017773131208,0.8439757448299544,0.7562069996596692
506,1,5,0,0,0,10,0,97,0,0,1,0,0,0,1,371,0,6,0,19,0,0,1,54,1,0,4,4,1,3,0,334,0,2,1,2,2,0,0,4,0,21,2,31,0,3,1,425,ConfusionMatrix_RF_2019-02-24.csv,RF,2019-02-24,0.9362258233141663,0.9184981528282733,0.8894705487790977
487,7,6,0,4,1,17,0,89,6,0,1,0,2,2,0,316,1,4,1,73,1,0,0,57,1,0,1,7,1,12,0,324,0,0,1,2,2,0,0,4,0,54,12,89,1,0,1,326,ConfusionMatrix_SVM_2019-02-24.csv,SVM,2019-02-24,0.8379508625196027,0.7932658988957539,0.8083461912565296
450,0,9,0,6,0,17,0,96,0,0,1,0,4,6,0,283,0,5,0,45,0,0,0,67,0,0,1,1,0,1,0,234,0,2,2,0,2,0,0,1,0,17,5,35,3,1,0,367,ConfusionMatrix_CART_2019-02-27.csv,CART,2019-02-27,0.9018663455749548,0.8744967572275746,0.8364034903883563
322,0,2,0,0,0,1,1,160,0,0,1,0,37,0,0,286,0,2,5,19,4,0,4,311,0,0,6,0,1,0,0,174,0,0,33,69,79,19,3,81,28,3,2,5,0,0,0,342,ConfusionMatrix_Cons_2019-02-27.csv,Cons,2019-02-27,0.838,0.8094424220573925,0.8168820033522314
466,0,4,0,1,0,11,0,100,0,0,1,0,0,0,0,307,0,4,0,28,0,0,0,65,0,1,2,0,0,0,0,238,0,0,1,0,1,0,0,3,0,11,2,22,1,0,0,392,ConfusionMatrix_GBT_2019-02-27.csv,GBT,2019-02-27,0.9458157736303432,0.930698398260993,0.9147606770796851
453,0,11,0,10,0,8,0,98,0,0,1,0,2,5,3,284,0,6,0,41,4,0,1,53,1,0,9,26,0,1,0,205,0,6,2,0,3,0,0,0,0,20,7,28,0,0,0,373,ConfusionMatrix_KNN_2019-02-27.csv,KNN,2019-02-27,0.8826008428657435,0.8491006699027361,0.7612174273055745
455,0,8,0,4,0,15,0,100,0,0,1,0,0,0,0,301,0,4,0,34,1,0,1,62,1,1,2,1,0,0,0,237,0,0,1,0,3,0,0,1,0,14,3,28,0,0,0,383,ConfusionMatrix_RF_2019-02-27.csv,RF,2019-02-27,0.9265502709211318,0.9060385755507033,0.8464393998421348
440,6,9,0,14,0,13,0,91,2,0,0,0,8,17,0,251,0,3,0,68,2,0,0,65,0,0,1,37,0,59,0,142,0,0,1,0,2,0,0,2,0,36,19,24,1,0,0,348,ConfusionMatrix_SVM_2019-02-27.csv,SVM,2019-02-27,0.8061408789885611,0.7504076324093666,0.7854459130767221
449,0,2,2,10,0,13,0,3,0,0,0,0,0,1,0,156,0,4,0,26,1,0,0,44,0,0,0,2,0,10,0,445,0,5,4,0,0,1,2,1,2,17,0,25,0,8,0,417,ConfusionMatrix_CART_2019-04-08.csv,CART,2019-04-08,0.9181818181818182,0.8900408342186014,0.8224844622674098
321,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,167,0,23,0,93,73,0,0,255,0,0,22,0,0,0,0,360,0,0,91,3,58,4,141,27,23,0,0,6,0,0,0,326,ConfusionMatrix_Cons_2019-04-08.csv,Cons,2019-04-08,0.728,0.6734964330685693,0.578893961067502
465,0,1,2,0,0,8,0,3,0,0,0,0,0,0,0,166,0,4,0,17,2,0,0,43,0,0,0,2,0,3,0,457,0,0,4,0,2,0,1,3,0,10,0,14,0,0,0,443,ConfusionMatrix_GBT_2019-04-08.csv,GBT,2019-04-08,0.9575757575757575,0.942927620363425,0.887672240707727
456,0,0,0,4,0,16,0,0,0,0,3,0,0,5,0,145,0,6,0,31,5,0,0,40,0,0,0,12,0,13,0,420,0,17,7,0,0,0,0,0,3,12,0,39,0,0,0,416,ConfusionMatrix_KNN_2019-04-08.csv,KNN,2019-04-08,0.8951515151515151,0.8588056875413642,0.6354327229512607
459,0,1,1,4,0,11,0,3,0,0,0,0,0,0,0,170,0,4,0,13,1,0,0,42,0,0,2,2,0,12,0,446,0,2,5,0,1,0,2,1,1,9,0,19,0,1,0,438,ConfusionMatrix_RF_2019-04-08.csv,RF,2019-04-08,0.9448484848484848,0.9259171910601316,0.8401379943948858
432,0,0,2,1,1,40,0,3,0,0,0,0,0,1,0,85,0,9,0,92,1,0,0,41,1,0,2,19,0,85,0,352,0,6,0,0,1,0,0,9,0,11,0,15,0,1,0,440,ConfusionMatrix_SVM_2019-04-08.csv,SVM,2019-04-08,0.8254545454545454,0.7654239202441329,0.8427897274716768
487,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,145,0,0,0,19,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,8,0,20,0,0,0,456,ConfusionMatrix_CART_2019-04-20.csv,CART,2019-04-20,0.9459459459459459,0.9146371549623574,0.6688562632433948
491,0,0,0,0,0,2,0,0,6,0,0,0,0,1,0,170,0,0,0,3,1,0,0,451,0,1,1,0,0,0,0,0,0,0,40,0,190,65,0,145,1,0,0,5,0,0,0,427,ConfusionMatrix_Cons_2019-04-20.csv,Cons,2019-04-20,0.842,0.8016656943473781,0.5701493991063591
497,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,161,0,0,0,4,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,11,0,0,0,472,ConfusionMatrix_GBT_2019-04-20.csv,GBT,2019-04-20,0.9822635135135135,0.9720601273610509,0.703961136601748
491,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,154,0,0,0,10,1,0,0,24,0,1,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,5,0,18,0,0,0,461,ConfusionMatrix_KNN_2019-04-20.csv,KNN,2019-04-20,0.9543918918918919,0.9279505065416559,0.5397009314066988
499,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,158,0,0,0,7,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,0,0,470,ConfusionMatrix_RF_2019-04-20.csv,RF,2019-04-20,0.9797297297297297,0.9680680711051778,0.7013988844833549
482,0,3,0,0,0,17,0,0,0,0,0,0,0,8,0,108,0,0,1,48,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,19,0,23,0,0,0,442,ConfusionMatrix_SVM_2019-04-20.csv,SVM,2019-04-20,0.8994932432432432,0.8395388061758243,0.6415749398568191
480,0,1,0,7,3,14,0,0,0,0,0,0,0,0,0,190,0,14,0,24,2,0,0,58,1,0,0,5,0,19,0,404,0,15,3,0,0,0,0,4,2,19,0,25,0,7,0,434,ConfusionMatrix_CART_2019-04-23.csv,CART,2019-04-23,0.9069901790872328,0.8763105535314766,0.7222592399692154
339,0,0,0,0,0,0,0,0,0,0,4,0,0,34,0,202,0,16,0,50,4,0,0,341,0,0,2,0,0,2,0,340,0,1,128,0,18,5,92,44,36,6,0,6,0,4,0,326,ConfusionMatrix_Cons_2019-04-23.csv,Cons,2019-04-23,0.796,0.7546088281278428,0.642311231987667
497,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,207,0,8,0,13,0,0,0,61,0,0,0,5,0,14,0,423,0,1,4,0,0,0,0,4,1,12,0,13,0,2,0,458,ConfusionMatrix_GBT_2019-04-23.csv,GBT,2019-04-23,0.9532062391681109,0.9377547659150174,0.771019157955369
477,0,2,0,0,0,26,0,0,0,0,0,0,0,2,0,176,0,17,0,33,6,0,0,54,1,0,0,15,0,36,0,376,0,16,6,0,0,0,0,0,3,23,0,27,0,2,0,433,ConfusionMatrix_KNN_2019-04-23.csv,KNN,2019-04-23,0.8757943385326401,0.8344248882529828,0.6254395830781609
490,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,202,0,9,0,17,0,0,0,61,0,0,0,8,0,16,1,414,0,4,6,0,0,0,0,2,1,9,0,16,0,1,0,459,ConfusionMatrix_RF_2019-04-23.csv,RF,2019-04-23,0.9404968226458694,0.920824751607325,0.7261445010244815
405,0,2,1,4,71,22,0,0,0,0,0,0,0,16,0,98,0,9,1,104,1,0,0,60,0,0,0,39,0,379,0,20,3,2,0,0,0,0,0,9,0,55,0,25,0,0,1,404,ConfusionMatrix_SVM_2019-04-23.csv,SVM,2019-04-23,0.5753899480069324,0.4571570103219465,0.44496036669978795
478,0,0,0,9,0,21,0,0,0,0,0,0,0,2,0,200,0,15,0,11,0,0,0,51,1,0,0,3,0,17,3,393,0,2,2,0,0,0,0,0,2,36,0,10,0,5,0,434,ConfusionMatrix_CART_2019-05-23.csv,CART,2019-05-23,0.9179941002949853,0.8903667656415991,0.6591349365042838
352,0,0,0,2,0,2,0,5,0,0,12,0,0,0,1,191,0,20,0,11,0,0,0,331,1,0,0,1,0,2,0,372,0,0,48,0,90,7,128,24,65,4,0,2,0,0,0,329,ConfusionMatrix_Cons_2019-05-23.csv,Cons,2019-05-23,0.802,0.7624681003956166,0.7040909386682185
488,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,216,0,6,0,6,0,0,0,51,1,0,0,1,0,3,0,414,0,0,2,0,0,0,0,2,0,20,0,3,0,1,0,461,ConfusionMatrix_GBT_2019-05-23.csv,GBT,2019-05-23,0.9628318584070796,0.9502810122680677,0.786923212709017
476,0,0,0,4,0,28,0,0,0,0,0,0,0,0,0,188,0,18,0,22,0,0,0,49,2,0,1,15,0,32,3,357,0,11,1,0,0,0,0,0,3,26,0,12,0,3,0,444,ConfusionMatrix_KNN_2019-05-23.csv,KNN,2019-05-23,0.8932153392330383,0.8570988735406893,0.6387441022143563
482,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,207,0,11,0,10,0,0,0,49,2,0,1,0,0,7,0,410,0,1,0,0,0,0,0,1,3,16,0,4,0,1,0,464,ConfusionMatrix_RF_2019-05-23.csv,RF,2019-05-23,0.9516224188790561,0.9352258078948178,0.7382334119857826
458,0,1,0,2,4,43,0,0,0,0,0,0,0,4,0,172,0,17,4,31,0,0,0,51,0,1,0,17,2,45,1,344,0,9,0,0,3,0,0,1,0,17,0,19,0,0,1,448,ConfusionMatrix_SVM_2019-05-23.csv,SVM,2019-05-23,0.8696165191740413,0.826119146644881,0.6463296507915414
492,0,0,0,0,1,15,0,460,0,0,0,2,0,1,0,426,0,0,1,18,0,0,0,32,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4,6,0,12,0,0,0,480,ConfusionMatrix_CART_2019-06-19.csv,CART,2019-06-19,0.9687660010240655,0.9588319245841137,0.8664933104958348
331,0,0,0,0,0,1,0,325,0,0,0,5,0,0,0,331,0,0,1,3,1,0,0,320,0,0,2,0,0,0,0,1,0,0,33,118,119,4,0,55,40,0,0,2,0,0,0,308,ConfusionMatrix_Cons_2019-06-19.csv,Cons,2019-06-19,0.8355,0.803247786986127,0.8292198727368805
502,0,1,0,1,1,3,0,460,0,0,0,2,0,0,0,434,0,0,1,11,1,0,0,31,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,1,0,7,0,0,0,490,ConfusionMatrix_GBT_2019-06-19.csv,GBT,2019-06-19,0.9841269841269841,0.9790905495970451,0.8808163992058756
502,0,0,0,0,0,6,0,459,3,0,0,0,0,4,13,419,0,0,0,10,0,0,0,26,0,1,5,1,0,0,0,0,0,0,1,0,3,0,0,0,2,2,0,28,0,0,0,468,ConfusionMatrix_KNN_2019-06-19.csv,KNN,2019-06-19,0.9595494111623144,0.9466074165536492,0.6777465704057913
504,0,1,0,0,0,3,0,460,0,0,0,2,0,0,1,436,0,0,0,9,0,0,0,32,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,2,2,0,15,0,0,0,481,ConfusionMatrix_RF_2019-06-19.csv,RF,2019-06-19,0.9805427547363031,0.9743526651953909,0.8785351084033018
503,0,0,0,0,0,5,0,462,0,0,0,0,0,0,2,425,0,0,3,16,0,0,0,32,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,3,7,0,15,0,0,0,476,ConfusionMatrix_SVM_2019-06-19.csv,SVM,2019-06-19,0.9733742959549411,0.9649083282078216,0.894554698758886
478,0,0,0,4,0,8,0,442,0,0,3,0,0,2,0,381,0,26,5,11,0,0,0,60,2,0,0,9,9,24,1,411,0,7,0,0,2,0,0,1,2,6,0,8,1,5,0,482,ConfusionMatrix_CART_2019-06-22.csv,CART,2019-06-22,0.9435146443514645,0.9302329352873445,0.8382504931958185
309,0,0,0,0,0,0,0,258,0,0,6,0,0,0,0,293,0,11,0,8,23,0,0,271,0,0,0,1,4,8,0,267,0,1,27,27,84,10,77,25,22,2,0,0,0,0,0,266,ConfusionMatrix_Cons_2019-06-22.csv,Cons,2019-06-22,0.8445,0.8181964326164953,0.7970255966940613
484,0,1,0,2,0,3,0,445,0,0,0,0,0,0,0,413,0,7,0,5,0,0,0,62,0,0,0,7,7,9,0,435,0,3,0,0,3,0,0,1,1,5,0,2,0,0,0,495,ConfusionMatrix_GBT_2019-06-22.csv,GBT,2019-06-22,0.9769874476987448,0.9715659165649464,0.8883023452795455
473,0,0,9,2,0,6,0,440,0,0,5,0,0,4,17,368,0,23,0,13,1,0,0,61,0,0,0,14,70,64,8,292,0,13,1,0,4,0,0,0,0,5,0,5,0,0,0,492,ConfusionMatrix_KNN_2019-06-22.csv,KNN,2019-06-22,0.8895397489539749,0.8637180672916882,0.7555809136896388
481,0,1,2,1,0,5,0,444,0,0,1,0,0,0,0,402,0,16,0,7,0,0,0,62,0,0,0,15,7,12,1,420,0,6,0,0,3,0,0,1,1,5,0,3,0,0,0,494,ConfusionMatrix_RF_2019-06-22.csv,RF,2019-06-22,0.9640167364016736,0.9555446066852658,0.8756634989929336
345,0,1,1,2,1,140,0,426,4,0,15,0,0,3,0,221,0,151,34,16,3,0,0,59,0,0,0,20,12,15,0,396,0,18,0,0,1,1,0,3,0,108,0,12,0,1,1,380,ConfusionMatrix_SVM_2019-06-22.csv,SVM,2019-06-22,0.7656903765690377,0.7110522929719041,0.7021805756981566
491,0,1,0,1,2,22,0,444,0,0,0,3,0,3,0,366,0,8,2,24,0,0,0,59,0,0,5,2,5,0,0,94,0,2,1,0,3,0,0,3,0,13,1,21,0,2,1,468,ConfusionMatrix_CART_2019-09-22.csv,CART,2019-09-22,0.940400586223742,0.9240819790838911,0.8537122080077371
331,0,1,0,0,0,0,0,311,0,0,0,1,0,0,0,318,0,1,2,1,0,0,0,293,0,0,1,0,0,0,0,57,0,0,11,129,108,4,6,90,0,1,0,4,0,0,0,330,ConfusionMatrix_Cons_2019-09-22.csv,Cons,2019-09-22,0.865,0.8400242689109089,0.8548352786265446
505,0,3,0,0,0,9,0,447,0,0,0,0,0,0,0,378,0,5,1,19,0,0,0,61,0,0,3,1,2,0,0,100,0,0,2,0,4,0,0,1,0,5,1,14,0,0,0,486,ConfusionMatrix_GBT_2019-09-22.csv,GBT,2019-09-22,0.9662921348314607,0.9570259706831095,0.8613983922163367
504,0,4,0,0,0,9,0,435,10,0,1,0,1,1,10,350,0,13,0,29,0,0,0,55,0,0,9,9,15,19,0,55,0,5,2,1,3,1,0,0,0,18,1,21,0,0,0,466,ConfusionMatrix_KNN_2019-09-22.csv,KNN,2019-09-22,0.9110893991206643,0.886079251051359,0.7494070953873138
505,0,4,0,0,0,8,0,446,0,0,0,1,0,0,0,377,0,5,0,21,0,0,0,60,0,0,4,2,2,1,0,96,0,2,2,0,4,1,0,0,0,7,1,16,0,0,0,482,ConfusionMatrix_RF_2019-09-22.csv,RF,2019-09-22,0.9604298974108452,0.9495231386149344,0.8219170559238046
495,0,5,0,0,0,17,0,446,0,0,0,1,0,6,0,366,0,7,0,24,0,0,0,63,0,0,1,6,2,7,0,88,0,0,1,0,5,1,0,0,0,20,0,19,3,0,0,464,ConfusionMatrix_SVM_2019-09-22.csv,SVM,2019-09-22,0.9389350268685882,0.9221046286670188,0.8030071761885894
477,0,6,0,4,0,27,0,294,1,0,11,0,0,7,2,314,3,21,2,18,0,0,1,26,2,0,3,3,9,12,0,404,0,0,0,1,1,1,1,1,2,41,0,11,0,0,3,411,ConfusionMatrix_CART_2019-10-30.csv,CART,2019-10-30,0.9089622641509434,0.8862483242784597,0.7948676172647584
304,0,1,0,0,0,1,0,274,0,0,26,0,0,1,0,282,0,5,0,7,17,0,0,145,0,0,95,0,0,0,0,243,0,0,18,74,115,5,74,9,1,7,0,0,0,0,0,296,ConfusionMatrix_Cons_2019-10-30.csv,Cons,2019-10-30,0.7765,0.7389803884929474,0.7180866443062597
487,0,5,0,0,0,22,0,303,0,0,3,0,0,1,0,353,0,2,0,11,1,0,1,29,0,0,1,0,0,1,0,427,0,0,0,1,1,0,2,3,0,30,0,4,0,0,0,432,ConfusionMatrix_GBT_2019-10-30.csv,GBT,2019-10-30,0.9594339622641509,0.9493104700347363,0.909912265013977
477,0,5,0,3,0,29,0,296,0,0,10,0,0,9,18,306,1,7,0,26,1,0,4,22,0,0,5,8,30,27,0,363,0,0,0,0,4,0,2,0,1,38,0,11,0,1,0,416,ConfusionMatrix_KNN_2019-10-30.csv,KNN,2019-10-30,0.8867924528301887,0.8585066612828006,0.7487757624572542
479,0,5,0,1,0,29,0,299,0,0,7,0,0,1,0,345,0,6,0,15,1,0,2,23,0,1,5,0,0,4,0,424,0,0,0,1,2,1,1,1,1,33,0,6,0,0,0,427,ConfusionMatrix_RF_2019-10-30.csv,RF,2019-10-30,0.9424528301886792,0.9280328115174213,0.8271391784777699
463,0,6,0,0,0,45,0,197,71,0,36,2,0,15,1,313,0,9,4,25,3,0,1,25,1,0,2,6,87,112,0,223,0,0,0,0,4,1,1,1,0,181,0,11,0,0,0,274,ConfusionMatrix_SVM_2019-10-30.csv,SVM,2019-10-30,0.7056603773584905,0.6321302093544174,0.6394572388825158
494,0,0,0,7,3,2,0,42,0,0,0,5,0,2,0,330,0,1,5,9,0,0,0,22,0,0,0,3,0,0,0,37,0,0,1,1,6,0,0,0,0,3,0,13,0,0,0,476,ConfusionMatrix_CART_2019-11-29.csv,CART,2019-11-29,0.9582763337893296,0.9412429750759317,0.8148293689226058
328,0,0,0,0,0,1,0,244,0,0,0,9,0,1,1,356,0,0,0,15,63,0,1,298,0,0,8,0,0,0,0,25,0,0,49,107,127,1,1,34,7,0,0,0,0,0,0,324,ConfusionMatrix_Cons_2019-11-29.csv,Cons,2019-11-29,0.8045,0.766218585622443,0.7856093276881922
500,0,2,0,2,0,2,0,43,0,0,0,4,0,0,0,336,0,0,0,11,0,0,0,22,0,0,0,1,0,1,0,38,0,0,1,1,5,1,0,0,0,4,0,0,0,0,0,488,ConfusionMatrix_GBT_2019-11-29.csv,GBT,2019-11-29,0.9760601915184679,0.9661426732003743,0.8309083991993919
502,0,1,0,0,0,3,0,46,1,0,0,0,0,5,4,324,0,0,0,14,0,0,0,22,0,0,0,9,9,3,0,19,0,0,1,1,6,0,0,0,0,5,0,0,0,0,0,487,ConfusionMatrix_KNN_2019-11-29.csv,KNN,2019-11-29,0.957592339261286,0.9397728292033076,0.7726561216246716
502,0,2,0,0,0,2,0,46,0,0,0,1,0,0,0,334,0,0,0,13,0,0,0,22,0,0,0,1,0,0,0,39,0,0,1,1,6,0,0,0,0,5,0,1,0,0,0,486,ConfusionMatrix_RF_2019-11-29.csv,RF,2019-11-29,0.9774281805745554,0.9680514609473709,0.8431708062512546
495,0,0,0,6,1,4,0,42,1,0,0,4,0,10,0,298,0,1,15,23,1,0,0,21,0,0,0,8,0,2,0,30,0,0,1,1,2,1,0,3,0,9,0,0,2,0,0,481,ConfusionMatrix_SVM_2019-11-29.csv,SVM,2019-11-29,0.9370725034199726,0.9111017111585514,0.8084620147683603
454,0,1,0,0,0,28,0,4,1,0,0,0,0,0,0,248,1,4,5,31,1,0,0,52,0,0,1,2,0,3,2,111,0,1,0,0,3,0,0,4,2,32,0,37,0,0,0,416,ConfusionMatrix_CART_2019-12-31.csv,CART,2019-12-31,0.8926592797783933,0.8522836244168265,0.8408057596305871
354,0,0,0,0,0,2,0,60,1,0,9,0,0,0,0,363,0,3,4,8,94,0,0,164,0,0,110,0,0,0,0,88,0,0,63,100,141,2,29,48,19,2,0,2,0,0,0,334,ConfusionMatrix_Cons_2019-12-31.csv,Cons,2019-12-31,0.7055,0.649541190512741,0.6596040036756866
470,0,0,0,0,0,13,0,5,0,0,0,0,0,0,0,254,0,3,1,31,0,0,0,53,1,0,0,0,0,1,3,115,0,0,1,0,3,0,0,4,1,16,0,20,0,0,0,449,ConfusionMatrix_GBT_2019-12-31.csv,GBT,2019-12-31,0.9349030470914127,0.9102707162160019,0.8976756757162283
457,0,0,0,0,0,26,0,0,3,0,2,0,0,0,0,238,0,14,0,37,0,0,0,51,0,0,3,6,0,6,7,94,0,6,2,0,5,0,0,0,2,26,0,10,0,0,0,449,ConfusionMatrix_KNN_2019-12-31.csv,KNN,2019-12-31,0.8926592797783933,0.8510238367186106,0.6321186007309565
466,0,0,0,0,0,17,0,4,1,0,0,0,0,0,0,253,0,3,2,31,0,0,0,53,0,0,1,2,0,1,0,115,0,1,1,0,4,0,0,3,1,18,0,18,0,0,0,449,ConfusionMatrix_RF_2019-12-31.csv,RF,2019-12-31,0.9300554016620498,0.9034397007931049,0.8635816371603824
434,0,0,1,0,0,48,0,5,0,0,0,0,0,1,0,126,0,19,5,138,0,0,0,54,0,0,0,2,0,7,4,106,0,0,1,0,3,0,0,1,4,74,0,5,4,0,0,402,ConfusionMatrix_SVM_2019-12-31.csv,SVM,2019-12-31,0.7811634349030471,0.6940872812354395,0.7328841631356237
537,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,1,2,0,0,0,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,1,0,1,0,0,0,448,ConfusionMatrix_CART_2020-03-25.csv,CART,2020-03-25,0.9933142311365807,0.9878190255220417,0.7981290271929448
507,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,38,0,0,1,14,0,0,0,471,0,0,0,0,0,0,0,0,0,0,54,15,65,3,0,278,48,20,0,4,0,0,0,467,ConfusionMatrix_Cons_2020-03-25.csv,Cons,2020-03-25,0.888,0.8548819587825892,0.6764985396674393
537,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,1,0,0,0,449,ConfusionMatrix_GBT_2020-03-25.csv,GBT,2020-03-25,0.997134670487106,0.9947880801185417,0.8417450482877992
