system:index,mean_chlor_a,system:time_start,.geo
1_20180528D,1.5050963172045817,1.5274656E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180529D,0.26311689667550464,1.527552E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180530D,1.4044543846373287,1.5276384E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180531D,1.6709376188462735,1.5277248E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180601D,1.6289754202188969,1.5278112E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180605D,1.4544648484298874,1.5281568E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180607D,1.4756229490570996,1.5283296E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180608D,1.5398795295975738,1.528416E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180609D,0.4749674599282287,1.5285024E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180611D,1.6752809560971644,1.5286752E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180615D,1.7520735349432037,1.5290208E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180619D,1.6094362304074394,1.5293664E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180620D,1.7533194734535462,1.5294528E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180622D,1.4669154709766452,1.5296256E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180626D,1.7434756272110103,1.5299712E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180627D,1.63917988997168,1.5300576E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180628D,1.4344000712859402,1.530144E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180629D,1.6807529035414963,1.5302304E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180630D,1.6826919819693187,1.5303168E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180902D,1.2856552247864108,1.5358464E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180903D,0.33087084217771146,1.5359328E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180904D,1.0627458651098092,1.5360192E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180905D,0.8243782973599876,1.5361056E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180906D,0.5080828444349432,1.536192E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180907D,0.7079380348406801,1.5362784E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180908D,0.8204459969826836,1.5363648E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180909D,1.2947791952886814,1.5364512E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180913D,1.503935712357134,1.5367968E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180915D,1.1978896747501777,1.5369696E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180917D,0.9392396167377968,1.5371424E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180918D,1.3481436057970235,1.5372288E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180921D,-0.410273743745763,1.537488E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180922D,1.3524795578531557,1.5375744E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180924D,1.5637089715195538,1.5377472E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180925D,1.3828946800463195,1.5378336E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180926D,-1.3879439373750835,1.53792E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180928D,1.6432953664943668,1.5380928E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180929D,1.2744297752115292,1.5381792E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20180930D,1.3075274162733814,1.5382656E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181002D,1.4471934447905006,1.5384384E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181003D,1.505124080628325,1.5385248E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181007D,1.5991809392230876,1.5388704E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181008D,1.0217835261501826,1.5389568E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181010D,1.3690735493879977,1.5391296E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181011D,1.4844913266923574,1.539216E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181013D,0.7663435523310678,1.5393888E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181014D,1.4855544726292405,1.5394752E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181015D,1.3516295091476846,1.5395616E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181018D,1.4582236115878477,1.5398208E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181022D,1.4527365235170788,1.5401664E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181027D,1.5017330570562362,1.5405984E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181028D,1.4129616574271489,1.5406848E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181102D,1.2597021188400277,1.5411168E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181103D,1.2252100122500635,1.5412032E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20181107D,1.2829364058193355,1.5415488E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
