system:index,system:time_start,.geo
A2002270,1.0330848E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002271,1.033171201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002272,1.03326E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002273,1.0333452E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002274,1.033432201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002275,1.0335174E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002276,1.033604101E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002277,1.033689601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002278,1.033776301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002279,1.033865101E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002280,1.033950301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002281,1.034037301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002282,1.034122501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002283,1.034209201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002284,1.034294701E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002285,1.0343814E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002286,1.034467201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002287,1.034553601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002288,1.0346424E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002289,1.034727601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002290,1.0348146E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002291,1.0348998E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002292,1.034986501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002293,1.035072E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002294,1.035158701E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002295,1.035247501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002296,1.0353327E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002297,1.035419701E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002298,1.035504901E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002299,1.035591601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002300,1.035677101E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2002301,1.0357638E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
